prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
51171,2a01:799:1796:501:1:b1ff:fe22:9549,IPv6,ripe,NO,29695,29695,79.160.0.0/15,2a01:798::/29, 2.79325,2.753834,2.79325,2.777278
51171,2a01:799:1796:501:1:b1ff:fe22:9549,IPv6,ripe,NO,29695,29695,79.160.0.0/15,2a01:798::/29, 2.753834,2.753834,2.79325,2.777278
51171,2a01:799:1796:501:1:b1ff:fe22:9549,IPv6,ripe,NO,29695,29695,79.160.0.0/15,2a01:798::/29,  2.78475,2.753834,2.79325,2.777278
53821,2a0c:807:4614:5208:1:73ff:feab:7443,IPv6,ripe,DE,207439,207439,5.1.85.0/24,2a0c:800::/29, 9.862542,9.475375,9.862542,9.6542223333
53821,2a0c:807:4614:5208:1:73ff:feab:7443,IPv6,ripe,DE,207439,207439,5.1.85.0/24,2a0c:800::/29, 9.62475,9.475375,9.862542,9.6542223333
53821,2a0c:807:4614:5208:1:73ff:feab:7443,IPv6,ripe,DE,207439,207439,5.1.85.0/24,2a0c:800::/29,  9.475375,9.475375,9.862542,9.6542223333
54804,2a02:587:7612:ff00:1:bdff:fea2:37af,IPv6,ripe,GR,6799,6799,94.65.0.0/16,2a02:587:4000::/34, 16.931625,16.931625,17.832959,17.3934586667
54804,2a02:587:7612:ff00:1:bdff:fea2:37af,IPv6,ripe,GR,6799,6799,94.65.0.0/16,2a02:587:4000::/34, 17.415792,16.931625,17.832959,17.3934586667
54804,2a02:587:7612:ff00:1:bdff:fea2:37af,IPv6,ripe,GR,6799,6799,94.65.0.0/16,2a02:587:4000::/34,  17.832959,16.931625,17.832959,17.3934586667
61321,2a01:b340:63:e996:da58:d7ff:fe03:12d,IPv6,ripe,IE,15751,15751,212.129.80.0/20,2a01:b340::/32, 20.3389,10.517004,20.3389,14.169085
61321,2a01:b340:63:e996:da58:d7ff:fe03:12d,IPv6,ripe,IE,15751,15751,212.129.80.0/20,2a01:b340::/32, 11.651351,10.517004,20.3389,14.169085
61321,2a01:b340:63:e996:da58:d7ff:fe03:12d,IPv6,ripe,IE,15751,15751,212.129.80.0/20,2a01:b340::/32,  10.517004,10.517004,20.3389,14.169085
62002,2a02:2454:9950:8b00:da58:d7ff:fe03:5d,IPv6,ripe,DE,16202,16202,92.206.0.0/16,2a02:2454:8000::/33, 19.791328,16.501401,19.791328,18.238427
62002,2a02:2454:9950:8b00:da58:d7ff:fe03:5d,IPv6,ripe,DE,16202,16202,92.206.0.0/16,2a02:2454:8000::/33, 18.422552,16.501401,19.791328,18.238427
62002,2a02:2454:9950:8b00:da58:d7ff:fe03:5d,IPv6,ripe,DE,16202,16202,92.206.0.0/16,2a02:2454:8000::/33,  16.501401,16.501401,19.791328,18.238427
6728,2001:67c:1740:9050::164,IPv6,ripe,FR,34019,34019,193.17.192.0/24,2001:67c:1740::/48, 10.867001,10.846299,10.867001,10.8557406667
6728,2001:67c:1740:9050::164,IPv6,ripe,FR,34019,34019,193.17.192.0/24,2001:67c:1740::/48, 10.846299,10.846299,10.867001,10.8557406667
6728,2001:67c:1740:9050::164,IPv6,ripe,FR,34019,34019,193.17.192.0/24,2001:67c:1740::/48,  10.853922,10.846299,10.867001,10.8557406667
6802,2a02:cbf4:102::20,IPv6,ripe,DE,61157,61157,213.131.224.0/19,2a02:cbf4::/32, 4.718199,4.613955,4.822924,4.7183593333
6802,2a02:cbf4:102::20,IPv6,ripe,DE,61157,61157,213.131.224.0/19,2a02:cbf4::/32, 4.822924,4.613955,4.822924,4.7183593333
6802,2a02:cbf4:102::20,IPv6,ripe,DE,61157,61157,213.131.224.0/19,2a02:cbf4::/32,  4.613955,4.613955,4.822924,4.7183593333
6441,2001:67c:2e74:1::21,IPv6,ripe,SE,60396,60396,91.209.0.0/24,2001:67c:2e74::/48, 9.201567,9.201567,9.392981,9.3014433333
6441,2001:67c:2e74:1::21,IPv6,ripe,SE,60396,60396,91.209.0.0/24,2001:67c:2e74::/48, 9.309782,9.201567,9.392981,9.3014433333
6441,2001:67c:2e74:1::21,IPv6,ripe,SE,60396,60396,91.209.0.0/24,2001:67c:2e74::/48,  9.392981,9.201567,9.392981,9.3014433333
1000173,2804:10c8:1337:100::2,IPv6,lacnic,BR,263649,263649,177.74.144.0/23,2804:10c8:1337::/48, 221.037546,221.037546,221.228445,221.144579
1000173,2804:10c8:1337:100::2,IPv6,lacnic,BR,263649,263649,177.74.144.0/23,2804:10c8:1337::/48, 221.228445,221.037546,221.228445,221.144579
1000173,2804:10c8:1337:100::2,IPv6,lacnic,BR,263649,263649,177.74.144.0/23,2804:10c8:1337::/48,  221.167746,221.037546,221.228445,221.144579
1003171,2001:13c7:7001:500::73,IPv6,lacnic,UY,28000,28000,179.0.156.0/22,2001:13c7:7001::/48, 71.903389,67.019668,83.596572,74.1732096667
1003171,2001:13c7:7001:500::73,IPv6,lacnic,UY,28000,28000,179.0.156.0/22,2001:13c7:7001::/48, 83.596572,67.019668,83.596572,74.1732096667
1003171,2001:13c7:7001:500::73,IPv6,lacnic,UY,28000,28000,179.0.156.0/22,2001:13c7:7001::/48,  67.019668,67.019668,83.596572,74.1732096667
1003566,2a02:4780:13:c0de::17,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48, 113.323221,113.14046,113.323221,113.2416963333
1003566,2a02:4780:13:c0de::17,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48, 113.261408,113.14046,113.323221,113.2416963333
1003566,2a02:4780:13:c0de::17,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48,  113.14046,113.14046,113.323221,113.2416963333
1003567,2a02:4780:13:c0de::18,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48, 112.3489,112.087566,112.3489,112.2091393333
1003567,2a02:4780:13:c0de::18,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48, 112.087566,112.087566,112.3489,112.2091393333
1003567,2a02:4780:13:c0de::18,IPv6,lacnic,BR,47583,47583,45.143.83.0/24,2a02:4780:13::/48,  112.190952,112.087566,112.3489,112.2091393333
1003966,2803:5440:ffff:ffff::129,IPv6,lacnic,AR,264738,264738,138.118.214.0/24,2803:5440:ffff::/48, 150.574928,150.571354,150.806593,150.6509583333
